"","y"
"1",19
"2",14
"3",21
"4",20
"5",15
"6",9
"7",11
"8",14
"9",14
"10",13
"11",13
"12",11
"13",16
"14",11
"15",9
"16",9
"17",11
"18",16
"19",10
"20",9
"21",14
"22",14
"23",19
"24",19
"25",19
"26",17
"27",10
"28",17
"29",9
"30",13
"31",15
"32",17
"33",14
"34",11
"35",12
"36",15
"37",16
"38",13
"39",15
"40",14
"41",13
"42",11
"43",10
"44",9
"45",12
"46",17
"47",15
"48",15
"49",15
"50",15
"51",13
"52",15
"53",11
"54",10
"55",13
"56",19
"57",14
"58",15
"59",14
"60",19
"61",19
"62",16
"63",16
"64",21
"65",22
"66",16
"67",12
"68",12
"69",9
"70",10
"71",9
"72",10
"73",15
"74",20
"75",13
"76",15
"77",17
"78",14
"79",15
"80",14
"81",19
"82",18
"83",17
"84",17
"85",11
"86",16
"87",17
"88",14
"89",16
"90",19
"91",17
"92",16
"93",17
"94",17
"95",11
"96",15
"97",16
"98",11
"99",18
"100",12
"101",10
"102",18
"103",12
"104",15
"105",11
"106",16
"107",15
"108",17
"109",11
"110",12
"111",14
"112",14
"113",15
"114",18
"115",18
"116",20
"117",14
"118",13
"119",12
"120",13
"121",18
"122",15
"123",10
"124",9
"125",14
"126",16
"127",10
"128",15
"129",10
"130",18
"131",20
"132",11
"133",28
"134",14
"135",20
"136",10
"137",10
"138",16
"139",10
"140",16
"141",19
"142",13
"143",21
"144",16
"145",23
"146",12
"147",16
"148",13
"149",14
"150",19
"151",20
"152",16
"153",19
"154",10
"155",11
"156",16
"157",16
"158",17
"159",14
"160",20
"161",11
"162",22
"163",16
"164",12
"165",6
"166",23
"167",18
"168",18
"169",12
"170",13
"171",15
"172",23
"173",20
"174",12
"175",10
"176",11
"177",12
"178",20
"179",20
"180",17
