"","y"
"1",1.75187331316187
"2",2.30270304690781
"3",2.87595140277428
"4",1.55311495778134
"5",1.73232222426483
"6",1.92937468485582
"7",1.67197660507787
"8",0.908402623996822
"9",1.92861007243126
"10",1.40277323788009
"11",1.5478405894072
"12",1.63094362142677
"13",1.86011947276808
"14",1.912841106583
"15",2.43161678399883
"16",1.65106022701263
"17",1.90187398528944
"18",1.92189441366862
"19",1.56564579700991
"20",1.5827076800929
"21",0.937452799104488
"22",1.59691186302958
"23",1.4519599833185
"24",1.99980107284907
"25",1.91327824487486
"26",1.7986062182258
"27",2.06613337151564
"28",1.82570344451521
"29",2.19958385996408
"30",1.8860117829704
"31",1.68749709355488
"32",2.33347351508023
"33",1.89177032589195
"34",2.17202065183619
"35",1.63328079671149
"36",1.62570445304808
"37",1.97620949601851
"38",1.89187223163038
"39",1.65869759708958
"40",1.70126183924951
"41",2.22349696718065
"42",2.01358691264505
"43",1.70381236334956
"44",1.7972104753477
"45",1.4667327833648
"46",2.16258604441999
"47",1.8923190587956
"48",2.34732403350822
"49",2.5103994290702
"50",2.19966476842845
"51",1.66239969303601
"52",2.27682664911706
"53",2.47728068168294
"54",1.26725195654822
"55",1.45149386112721
"56",2.22431763495711
"57",1.59876145619214
"58",2.04955833085811
"59",2.28236285413568
"60",1.79504384197013
"61",1.99855964803616
"62",1.71714963236969
"63",1.27313172175745
"64",1.77442130518515
"65",1.93920441119024
"66",1.71301922287654
"67",1.74123431469229
"68",1.90532865166805
"69",1.90350638329628
"70",1.64439712848517
"71",1.82500413061565
"72",0.879764234817008
"73",1.84250837004602
"74",1.82261382897615
"75",1.83826630714273
"76",1.82230780436999
"77",2.06345021399498
"78",1.55356927047266
"79",1.7962457091964
"80",2.36662611935679
"81",2.0483361031024
"82",2.55830385541044
"83",1.54359931125148
"84",1.39564435604198
"85",2.14444128810519
"86",2.08317899542018
"87",2.24942354145055
"88",1.85652084327649
"89",1.79476722300875
"90",1.63065189838728
"91",2.34659937868784
"92",1.01628005775735
"93",2.15235372239796
"94",1.97604755292636
"95",1.56445156677677
"96",1.95904685315718
"97",1.82116708555487
"98",1.77287607716702
"99",1.04163035374938
"100",1.84222106681252
"101",1.6362809090528
"102",1.13096583693199
"103",1.52962537408551
"104",2.62763375987212
"105",2.42176900276625
"106",0.916577121076417
"107",1.20803059203943
"108",2.23880427587478
"109",1.92663718099163
"110",1.83227435499012
"111",2.02778074880836
"112",1.52900560758181
"113",1.11995538294003
"114",2.24656407176794
"115",2.16059180803187
"116",2.03484987407643
"117",1.45968543368151
"118",1.84470948074282
"119",1.28215587174108
"120",1.82077910866071
"121",1.3110831610568
"122",1.28948904447959
"123",1.85477576564613
"124",2.18285355827041
"125",1.86697646282338
"126",1.38159382724623
"127",1.75946378645957
"128",2.12299932777867
"129",2.70444825780534
"130",1.93534718513725
"131",1.48274981163627
"132",2.28382512389102
"133",1.81900954177768
"134",2.53414997488839
"135",2.44103387968039
"136",2.6139710466644
"137",2.19261733439585
"138",2.1910932610339
"139",2.07841109734859
"140",1.83052237593609
"141",1.91536210799833
"142",1.73313620921233
"143",1.6551676769046
"144",1.58654870915468
"145",2.04760377985187
"146",1.51234057794297
"147",2.52423519914544
"148",1.66714894055778
"149",1.93482595935568
"150",2.08321083922434
