"","y"
"1",0.58
"2",0.42
"3",0.759
"4",0.461
"5",0.589
"6",0.323
"7",0.277
"8",0.858
"9",0.795
"10",0.421
"11",0.957
"12",0.061
"13",0.681
"14",0.18
"15",1.018
"16",0.509
"17",0.662
"18",0.357
"19",0.118
"20",0.592
"21",0.577
"22",0.507
"23",0.352
"24",0.358
"25",0.22
"26",1.161
"27",0.308
"28",0.643
"29",0.664
"30",1.311
"31",0.51
"32",0.491
"33",0.405
"34",0.504
"35",0.625
"36",0.39
"37",0.617
"38",0.749
"39",1.132
"40",1.03
"41",1.384
"42",0.34
"43",0.412
"44",1.298
"45",1.118
"46",0.931
"47",0.361
"48",0.696
"49",0.446
"50",0.742
"51",0.366
"52",0.9
"53",0.504
"54",0.799
"55",0.852
"56",0.817
"57",0.353
"58",0.49
"59",1.452
"60",0.531
"61",1.018
"62",0.535
"63",0.548
"64",0.794
"65",0.541
"66",0.808
"67",0.595
"68",0.339
"69",0.459
"70",0.128
"71",0.603
"72",0.342
"73",0.254
"74",0.606
"75",0.24
"76",0.615
"77",0.28
"78",0.167
"79",0.486
"80",0.211
"81",0.524
"82",0.423
"83",0.806
"84",0.683
"85",1.407
"86",0.78
"87",0.655
"88",0.911
"89",0.193
"90",0.948
"91",0.18
"92",0.49
"93",0.711
"94",1.505
"95",1.939
"96",0.303
"97",0.228
"98",0.837
"99",0.128
"100",0.947
"101",0.741
"102",0.261
"103",0.352
"104",0.575
"105",0.412
"106",0.37
"107",0.618
"108",0.803
"109",0.352
"110",0.32
"111",0.174
"112",1.302
"113",0.518
"114",0.479
"115",0.717
"116",0.448
"117",0.495
"118",0.169
"119",0.177
"120",0.326
"121",0.615
"122",0.547
"123",0.657
"124",0.688
"125",0.295
"126",0.232
"127",1.445
"128",0.391
"129",0.494
"130",1.132
"131",0.437
"132",0.057
"133",0.571
"134",0.479
"135",0.673
"136",0.53
"137",0.376
"138",0.696
"139",0.657
"140",0.577
"141",0.734
"142",0.324
"143",0.76
"144",1.037
"145",0.999
"146",0.603
"147",0.682
"148",0.446
"149",0.513
"150",0.259
"151",0.336
"152",0.822
"153",0.36
"154",0.248
"155",0.221
"156",1.045
"157",0.672
"158",0.911
"159",0.494
"160",0.227
"161",1.054
"162",0.095
"163",0.809
"164",0.17
"165",0.25
"166",0.601
"167",0.721
"168",0.817
"169",0.456
"170",0.603
"171",0.428
"172",0.598
"173",0.464
"174",0.441
"175",0.234
"176",0.755
"177",0.367
"178",0.335
"179",0.39
"180",1.097
"181",0.162
"182",0.673
"183",0.937
"184",0.842
"185",0.181
"186",1.606
"187",0.469
"188",0.976
"189",0.887
"190",0.519
"191",0.372
"192",0.615
"193",1.306
"194",0.525
"195",0.082
"196",0.874
"197",0.605
"198",1.647
"199",0.545
"200",1.015
