"","y"
"1",0.416
"2",0.473
"3",0.652
"4",0.382
"5",0.319
"6",0.211
"7",0.348
"8",0.6
"9",0.37
"10",0.478
"11",0.708
"12",0.519
"13",0.594
"14",0.496
"15",0.375
"16",0.416
"17",0.452
"18",0.562
"19",0.24
"20",0.486
"21",0.262
"22",0.164
"23",0.362
"24",0.254
"25",0.365
"26",0.216
"27",0.515
"28",0.274
"29",0.479
"30",0.43
"31",0.415
"32",0.441
"33",0.327
"34",0.52
"35",0.313
"36",0.426
"37",0.573
"38",0.452
"39",0.512
"40",0.298
"41",0.348
"42",0.335
"43",0.252
"44",0.287
"45",0.538
"46",0.217
"47",0.528
"48",0.508
"49",0.343
"50",0.261
"51",0.162
"52",0.488
"53",0.356
"54",0.317
"55",0.456
"56",0.55
"57",0.282
"58",0.488
"59",0.444
"60",0.555
"61",0.314
"62",0.198
"63",0.541
"64",0.472
"65",0.255
"66",0.555
"67",0.168
"68",0.454
"69",0.365
"70",0.331
"71",0.361
"72",0.524
"73",0.431
"74",0.282
"75",0.332
"76",0.181
"77",0.342
"78",0.388
"79",0.473
"80",0.44
"81",0.368
"82",0.474
"83",0.302
"84",0.197
"85",0.35
"86",0.541
"87",0.486
"88",0.215
"89",0.336
"90",0.416
"91",0.452
"92",0.223
"93",0.474
"94",0.234
"95",0.216
"96",0.278
"97",0.232
"98",0.45
"99",0.412
"100",0.459
"101",0.576
"102",0.145
"103",0.37
"104",0.474
"105",0.311
"106",0.349
"107",0.415
"108",0.383
"109",0.333
"110",0.737
"111",0.598
"112",0.371
"113",0.427
"114",0.457
"115",0.209
"116",0.336
"117",0.445
"118",0.303
"119",0.365
"120",0.303
"121",0.489
"122",0.2
"123",0.265
"124",0.354
"125",0.382
"126",0.238
"127",0.24
"128",0.284
"129",0.592
"130",0.405
"131",0.368
"132",0.464
"133",0.332
"134",0.449
"135",0.353
"136",0.419
"137",0.489
"138",0.393
"139",0.319
"140",0.275
"141",0.56
"142",0.386
"143",0.416
"144",0.241
"145",0.376
"146",0.341
"147",0.615
"148",0.332
"149",0.455
"150",0.476
"151",0.449
"152",0.231
"153",0.358
"154",0.438
"155",0.335
"156",0.312
"157",0.162
"158",0.367
"159",0.371
"160",0.314
"161",0.376
"162",0.352
"163",0.459
"164",0.36
"165",0.474
"166",0.526
"167",0.389
"168",0.414
"169",0.375
"170",0.539
"171",0.389
"172",0.425
"173",0.364
"174",0.178
"175",0.198
"176",0.504
"177",0.326
"178",0.457
"179",0.319
"180",0.539
"181",0.347
"182",0.445
"183",0.341
"184",0.415
"185",0.318
"186",0.314
"187",0.42
"188",0.436
"189",0.589
"190",0.364
"191",0.229
"192",0.392
"193",0.315
"194",0.338
"195",0.536
"196",0.193
"197",0.282
"198",0.095
"199",0.344
"200",0.368
"201",0.179
"202",0.465
"203",0.173
"204",0.349
"205",0.537
"206",0.27
"207",0.405
"208",0.155
"209",0.441
"210",0.582
"211",0.284
"212",0.664
"213",0.284
"214",0.535
"215",0.308
"216",0.315
"217",0.267
"218",0.133
"219",0.464
"220",0.307
"221",0.304
"222",0.365
"223",0.361
"224",0.118
"225",0.52
"226",0.259
"227",0.243
"228",0.372
"229",0.529
"230",0.502
"231",0.36
"232",0.347
"233",0.241
"234",0.463
"235",0.238
"236",0.603
"237",0.353
"238",0.314
"239",0.439
"240",0.442
"241",0.383
"242",0.216
"243",0.432
"244",0.431
"245",0.186
"246",0.239
"247",0.223
"248",0.343
"249",0.334
"250",0.253
"251",0.449
"252",0.305
"253",0.281
"254",0.468
"255",0.36
"256",0.507
"257",0.276
"258",0.308
"259",0.289
"260",0.209
"261",0.343
"262",0.307
"263",0.291
"264",0.45
"265",0.447
"266",0.436
"267",0.494
"268",0.289
"269",0.566
"270",0.432
"271",0.479
"272",0.471
"273",0.341
"274",0.479
"275",0.496
"276",0.5
"277",0.345
"278",0.539
"279",0.49
"280",0.289
"281",0.402
"282",0.441
"283",0.508
"284",0.41
"285",0.469
"286",0.296
"287",0.377
"288",0.478
"289",0.529
"290",0.344
"291",0.362
"292",0.541
"293",0.133
"294",0.265
"295",0.49
"296",0.424
"297",0.264
"298",0.172
"299",0.196
"300",0.397
